Date_User,Latitude_User,Longitude_User,AccelerometerX_User,AccelerometerY_User,AccelerometerZ_User
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.001556,-0.629028,-0.778473
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.003998,-0.629379,-0.780594
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.006744,-0.632935,-0.782166
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.005341,-0.631088,-0.781921
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.004456,-0.629028,-0.784027
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.002319,-0.631516,-0.785583
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.002228,-0.635895,-0.785416
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.002563,-0.635956,-0.785202
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004044,-0.634491,-0.785843
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004303,-0.631989,-0.783035
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003998,-0.631256,-0.776901
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003433,-0.631165,-0.772507
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003662,-0.632828,-0.770370
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002335,-0.632965,-0.770050
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004883,-0.631638,-0.770615
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006989,-0.631714,-0.772293
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006210,-0.632355,-0.773758
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003525,-0.629471,-0.775543
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001953,-0.630280,-0.778030
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001831,-0.632980,-0.780640
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001816,-0.634491,-0.780884
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002090,-0.635040,-0.778839
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004303,-0.636688,-0.781219
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.007233,-0.636597,-0.784119
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.007111,-0.633850,-0.782379
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006180,-0.633041,-0.782074
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.005432,-0.631470,-0.782043
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001877,-0.630157,-0.778442
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001205,-0.631638,-0.775024
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002991,-0.633102,-0.773743
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004669,-0.634567,-0.772003
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006683,-0.635071,-0.772125
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.008316,-0.632019,-0.775085
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006683,-0.630753,-0.776627
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.007065,-0.632034,-0.777115
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006348,-0.632629,-0.778183
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003326,-0.632095,-0.778870
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.000977,-0.631546,-0.777695
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001099,-0.631439,-0.779068
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002426,-0.630905,-0.781067
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002716,-0.630356,-0.779160
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003830,-0.631073,-0.778214
